Product,Price
Soko Soko Maize Meal - 2Kg,KSh 186
Amaize Amaize Premium Maize Meal - 2Kg,KSh 243
Kabras Kabras Premium White Sugar - 2kg,KSh 308
Exe Exe All Purpose Flour 2kg,KSh 192
Jogoo Jogoo Maize Meal 2Kg - Pack of 12,"KSh 2,232"
Amana Pishori - 5kg,"KSh 1,453"
Kabras Kabras Premium White Sugar - 1kg,KSh 149
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 1,887"
Gilbey's Gilbey's Gin - 750 ML,"KSh 1,395"
Jogoo Jogoo Maize 5Kg,KSh 469
Tusker Tusker Lager Can - 500ml - Pack of 6,"KSh 1,320"
Fresh Fri Fresh Fri Triple Refined Vegetable Cooking Oil - 2 Litres,KSh 459
Softleaf Softleaf Virgin Toilet Paper 10 Pack,KSh 350
Baileys Baileys Delight Irish Cream - 750ml,KSh 999
Postman Vegetable Oil Plastic Jerican - 10Ltr,"KSh 2,080"
Jameson Jameson Irish Whiskey - 1 Litre,"KSh 2,516"
Beefeater Beefeater London Pink Gin - 750ML,"KSh 2,193"
Seagrams Seagrams Imperial Blue Whiskey - 750ml,KSh 750
Beefeater Beefeater London Dry Gin - 750ml,"KSh 2,024"
Passport Passport Blended Scotch Whisky - 700Ml,KSh 932
Absolut Absolut Vodka Blue - 750ml,"KSh 1,859"
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 1,887"
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 1,538"
Ballantine Ballantine Blended Scotch Whiskey - 1 Litre,"KSh 2,735"
Chivas Chivas 12 Year Old Whiskey 750ml + Free Glass,"KSh 3,760"
Jacob's Creek Jacob's Creek Classic Merlot 750Ml,KSh 996
Seagrams Seagrams Royal Stag Whiskey - 750ml,KSh 799
Absolut Absolut Vodka Citron - 750ML,"KSh 1,708"
Jacob's Creek Jacob's Creek Classic Chardonnay - 750ml,"KSh 1,121"
The Glenlivet The Glenlivet Founder's Reserve -Single Malt Scotch Whisky 700ml,"KSh 4,835"
Postman Vegetable Oil Plastic Jerican - 10Ltr,"KSh 2,080"
Rina Rina Vegetable Oil Jerrican – 2 Litres,KSh 499
Fresh Fri Fresh Fri Triple Refined Vegetable Cooking Oil - 2 Litres,KSh 459
Rina Rina Vegetable Oil – 3 Litres,KSh 799
Master Chef Premium Vegetable Cooking Oil - 1 Litre,KSh 295
Postman Postman Vegetable Oil Plastic Jerican - 20Ltr,"KSh 4,150"
Rina Rina Vegetable Oil - 5 Litres,"KSh 1,290"
Rina Rina Vegetable Oil 1 Litres,KSh 240
Top Fry Top Fry Vegetable Oil - 2ltr,KSh 707
Rina Vegetable Oil  - 10 Litres,"KSh 3,312"
Ufuta Vegetable cooking oil 3litre,"KSh 1,101"
Fresh Fri Fresh Fri Triple Refined Vegetable Cooking Oil - 5 Litres,"KSh 1,499"
Rinsun Rinsun Sunflower Oil - 2 Litres,KSh 999
Top Fry Top Fry Vegetable Oil - 1ltr,KSh 390
Master Chef Premium Vegetable Cooking Oil - 3 Litres,KSh 899
Ariel Ariel Fresh Floral Clean 2 Kg,KSh 799
Toss Toss Sensitive Detergent Powder Plastic Container - 1kg,KSh 335
ACE ACE Liquid Toilet Cleaner Citrus Fresh - 1L,KSh 520
Ushindi Ushindi Dish Washing Liquid Orange 450ml,KSh 169
Amara Amara Liquid Hand Wash - 500ml,KSh 176
Celine Celine Premium Toilet Tissue Tens,KSh 545
Jamaa Jamaa White Bar Soap – 800g,KSh 210
Toss Toss White Detergent Powder – 500g,KSh 185
Tena Tena White Toilet Paper – 4pack,KSh 209
Poshy Roll Poa - Tens Wrapped Coloured,KSh 255
Ariel Ariel Machine Powder - 1.5kg,KSh 899
Fa Fa Liquid Soap Cacao Butter 250ml,KSh 215
Tena Tena Tissue – 10pk Unwrapped,KSh 524
Msafi White Washing Bar Soap 1Kg - pack of 10,"KSh 2,057"
Odo Smile Odo Smile Citrus Burst Block - 170g,KSh 160
